solution_EF;solution_PBDW;solution_PBDW_eta;solution_PBDW_z
0.52322;0.52322;-2.0626e-07;0.52322
0.34716;0.34716;-1.1003e-08;0.34716
0.38079;0.38079;-3.6951e-09;0.38079
0.2222;0.2222;5.0887e-08;0.2222
0.4318;0.4318;8.5211e-08;0.4318
0.31227;0.31227;4.8371e-08;0.31227
0.3964;0.3964;2.6554e-08;0.3964
0.26432;0.26432;5.1019e-08;0.26432
0.37615;0.37615;-1.1578e-08;0.37615
0.39522;0.39522;1.1481e-07;0.39522
0.1998;0.1998;-7.8814e-08;0.1998
0.56081;0.56081;-9.9196e-08;0.56081
0.36531;0.36531;-1.1413e-08;0.36531
0.37246;0.37246;-3.8014e-08;0.37246
0.32556;0.32556;-1.3641e-07;0.32556
0.26049;0.26049;1.8958e-07;0.26049
0.419;0.419;5.0708e-08;0.419
0.48139;0.48139;-4.447e-07;0.48139
0.25671;0.25671;-9.9842e-08;0.25671
0.28725;0.28725;-2.0721e-07;0.28725
0.49049;0.49049;2.4114e-07;0.49049
0.33959;0.33959;-8.746e-10;0.33959
0.38701;0.38701;2.7632e-07;0.38701
0.22963;0.22963;1.6773e-07;0.22963
0.49244;0.49244;1.2682e-07;0.49244
0.36472;0.36471;1.7243e-09;0.36471
0.3525;0.3525;4.6649e-08;0.3525
0.23353;0.23353;1.1026e-07;0.23353
0.35953;0.35953;1.1298e-08;0.35953
0.31533;0.31533;5.385e-08;0.31533
0.33822;0.33822;-6.2985e-08;0.33823
0.45471;0.45471;3.5087e-08;0.45471
0.34267;0.34267;8.4196e-08;0.34267
0.40081;0.40081;-3.6623e-08;0.40081
0.35066;0.35066;-9.4421e-08;0.35066
0.27299;0.27299;1.1313e-07;0.27299
0.53888;0.53888;5.8392e-08;0.53888
0.34754;0.34754;-1.0634e-09;0.34754
0.40817;0.40817;1.9155e-07;0.40817
0.20589;0.20589;4.7876e-08;0.20589
0.37099;0.37099;3.242e-08;0.37099
0.54793;0.54793;-2.5904e-07;0.54793
0.20846;0.20846;1.0661e-08;0.20846
0.37455;0.37455;-2.1093e-08;0.37455
0.39353;0.39353;-4.0543e-08;0.39353
0.42372;0.42372;8.4804e-08;0.42372
0.29717;0.29717;1.076e-07;0.29717
0.29412;0.29412;-8.8913e-08;0.29412
0.47073;0.47073;1.6972e-07;0.47073
0.29613;0.29613;-1.496e-07;0.29613
0.44626;0.44626;5.5756e-08;0.44626
0.24031;0.24031;-7.3968e-08;0.24031
0.51131;0.51131;-2.5367e-07;0.51131
0.31966;0.31966;-9.8787e-08;0.31966
0.39823;0.39823;3.7148e-08;0.39823
0.23397;0.23397;-5.3074e-09;0.23397
